"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","DEWP_ATTRIBUTES","FRSHTT","FRSHTT_ATTRIBUTES","GUST","GUST_ATTRIBUTES","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","MXSPD","MXSPD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","SNDP","SNDP_ATTRIBUTES","STP","STP_ATTRIBUTES","TEMP","TEMP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-01","  -0.2","14","100000",,"999.9",,"  24.8","*","   5.0"," "," 35.9",," 0.00","I","9999.9"," 0","  1.2",,"795.2"," 7","  19.5","14"," 68.0","14"," 15.7","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-02","   6.2","16","100000",," 43.9",,"  24.1"," ","   5.2","*"," 35.0",," 0.00","I","9999.9"," 0","  1.2",,"793.6"," 8","  14.9","16"," 40.5","16"," 24.3","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-03","  -6.8","13","100000",," 53.8",,"  19.0"," ","  -8.9","*"," 41.0",," 0.00","A","9999.9"," 0","  1.2",,"791.5"," 6","  -0.5","13"," 58.1","12"," 37.4","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-04"," -15.5","14","100000",," 62.0",,"   6.3","*","  -9.9"," "," 44.1",," 0.04","G","9999.9"," 0","  1.2",,"796.8"," 7","  -2.2","14"," 40.1","14"," 35.7","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-05","  -8.9","13","000000",," 39.8",,"  12.0"," ","  -6.0"," "," 28.0",," 0.00","I","9999.9"," 0","  1.2",,"796.5"," 6","   9.6","13"," 72.0","13"," 15.2","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-06"," -23.8","16","000000",," 44.9",,"  12.0"," ","  -2.2","*"," 31.1",," 0.00","I","9999.9"," 0","  1.2",,"793.6"," 8","   3.3","16"," 70.5","16"," 20.7","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-07","  -6.9","15","101000",," 80.8",,"  16.2","*","  -2.2","*"," 51.1",," 0.24","G","9999.9"," 0","999.9",,"794.1"," 8","   6.8","15"," 35.0","15"," 37.4","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-08","   3.8","12","101000",," 64.9",,"  16.0"," ","  -2.0"," "," 55.9",," 0.28","G","9999.9"," 0","999.9",,"789.2"," 7","   3.8","12","  0.0","12"," 48.9","11"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-09","  -2.2","13","101000",," 62.0",,"   6.1"," ","  -4.9","*"," 51.1",," 0.02","G","9999.9"," 0","999.9",,"796.0"," 6","  -2.2","13","  0.0","13"," 44.6","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-10","  -9.7","16","101000",," 61.0",,"   2.1","*"," -11.0"," "," 49.0",," 0.00","H","9999.9"," 0","999.9",,"801.2"," 8","  -5.7","16"," 28.6","16"," 37.9","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-11","  12.2","15","101000",," 86.8",,"  31.1","*"," -11.0"," "," 62.9",," 0.04","G","9999.9"," 0","999.9",,"807.4"," 7","  18.5","15"," 32.4","15"," 44.8","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-12","   7.4","11","111000",," 97.9",,"  36.0"," ","  -7.8","*"," 83.9",," 0.94","G","9999.9"," 0","999.9",,"788.7"," 6","   8.1","11","  7.3","11"," 70.2","11"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-13"," -10.9","11","101000",,"999.9",,"  13.1","*"," -14.8","*"," 79.1",," 0.51","G","9999.9"," 0","999.9",,"799.0"," 7","   0.7","11"," 50.4","11"," 44.3","11"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-14","   7.4","14","101000",," 65.9",,"  29.1","*","  12.2","*"," 42.0",," 0.04","G","9999.9"," 0","999.9",,"807.2"," 7","  20.3","14"," 32.5","14"," 36.5","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-15","  18.1","14","101000",," 45.8",,"  31.1","*","  16.0"," "," 35.9",," 0.12","G","9999.9"," 0","999.9",,"809.0"," 7","  27.8","14"," 19.5","14"," 20.8","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-16"," -13.8","14","000000",," 49.9",,"  30.9"," ","  12.0"," "," 36.9",," 0.00","G","9999.9"," 0","  1.2",,"808.7"," 6","  20.0","14"," 71.1","14"," 29.4","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-17","  -4.0","14","100000",,"999.9",,"  30.9"," ","  12.0"," "," 24.1",," 0.00","I","9999.9"," 0","  1.2",,"810.2"," 7","  27.2","14"," 42.2","14"," 14.1","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-18","  28.0","15","100000",," 39.8",,"  33.1"," ","  24.1"," "," 31.1",," 0.00","I","9999.9"," 0","  1.2",,"805.8"," 8","  30.4","15"," 10.5","15"," 21.2","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-19","  14.6","15","100000",," 57.9",,"  32.0"," ","  15.3","*"," 35.9",," 0.00","I","9999.9"," 0","  1.2",,"797.3"," 7","  20.7","15"," 14.6","15"," 25.1","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-20","   4.9","15","100000",," 82.9",,"  28.0"," ","  -5.8","*"," 59.1",," 0.31","G","9999.9"," 0","  1.2",,"791.2"," 7","   4.9","15","  0.0","15"," 52.9","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-21","  -9.5","15","100000",," 89.0",,"  -5.8","*"," -11.9"," "," 69.9",," 0.20","G","9999.9"," 0","  1.2",,"781.5"," 8","  -9.5","15","  0.0","15"," 56.9","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-22"," -13.6","13","101000",," 88.0",,"   9.1","*"," -13.0"," "," 69.9",,"99.99"," ","9999.9"," 0","  2.0",,"785.7"," 7","  -3.7","13"," 41.2","13"," 45.2","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-23","   9.0","12","101000",," 36.9",,"  12.2","*","   5.0","*"," 29.9",," 0.16","G","9999.9"," 0","999.9",,"781.0"," 5","  10.1","12"," 15.5","12"," 12.9","12"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-24"," -15.7","15","101000",,"103.0",,"  12.9"," "," -27.9"," "," 83.9",," 0.04","G","9999.9"," 0","999.9",,"766.4"," 7"," -15.7","15","  0.0","15"," 58.7","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-25"," -20.3","16","100000",," 82.0",,"  -8.0"," "," -27.9"," "," 69.9",," 0.02","G","9999.9"," 0","  2.0",,"769.8"," 8"," -18.5","16"," 25.5","16"," 62.3","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-26","  -9.3","14","100000",," 78.9",,"  -0.9"," "," -22.0"," "," 63.9",," 0.00","G","9999.9"," 0","  2.0",,"780.2"," 7","  -9.3","14","  0.0","14"," 53.9","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-27","  -3.1","16","100000",," 63.9",,"   0.1","*"," -14.1"," "," 59.1",," 0.00","I","9999.9"," 0","  2.0",,"790.1"," 8","  -3.1","16","  0.1","15"," 48.8","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-28","  -3.1","16","101000",," 71.9",,"   1.0"," ","  -7.1"," "," 58.1",,"99.99"," ","9999.9"," 0","  2.0",,"788.4"," 8","  -3.1","16","  0.0","16"," 50.1","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-29","  -7.1","15","101000",," 69.0",,"  -2.0"," ","  -9.8","*"," 55.9",," 0.12","G","9999.9"," 0","999.9",,"788.8"," 8","  -7.1","15","  0.0","15"," 52.2","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-30"," -18.6","13","101000",," 83.9",,"  -5.1"," "," -25.1"," "," 65.1",," 0.01","G","9999.9"," 0","  2.0",,"784.8"," 7"," -14.4","13"," 19.7","13"," 55.0","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-01-31","  -5.6","16","100000",," 82.0",,"   6.1"," ","  -9.4","*"," 53.0",," 0.00","G","9999.9"," 0","  2.0",,"787.2"," 8","  -0.6","16"," 58.1","16"," 32.5","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-01","  -0.6","14","100000",," 62.0",,"   6.1"," ","  -5.8","*"," 39.8",," 0.00","I","9999.9"," 0","  2.0",,"784.4"," 7","   1.1","14"," 16.5","14"," 28.5","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-02","  -9.7","16","100000",," 90.9",,"   3.9"," "," -20.7","*"," 60.0",," 0.00","I","9999.9"," 0","  2.0",,"782.2"," 8","  -9.7","16","  0.1","16"," 49.4","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-03","  -0.4","13","101000",," 46.8",,"   8.6","*"," -22.0"," "," 44.1",," 0.08","G","9999.9"," 0","999.9",,"786.5"," 7","   0.1","13"," 15.0","13"," 30.6","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-04","   4.9","16","100000",,"999.9",,"  10.0"," ","  -0.9"," "," 36.9",," 0.00","I","9999.9"," 0","  2.0",,"792.6"," 8","   7.1","16"," 47.7","16"," 15.1","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-05","  -2.2","16","000000",," 26.8",,"  10.0"," ","  -5.1"," "," 22.9",," 0.00","I","9999.9"," 0","  2.0",,"794.2"," 8","   0.9","16"," 58.7","16"," 18.1","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-06","  -0.7","14","000000",," 26.8",,"   8.2","*","  -5.1"," "," 17.9",," 0.00","I","9999.9"," 0","  2.0",,"799.0"," 6","   2.8","14"," 64.0","14","  7.3","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-07","  -4.7","15","000000",," 36.9",,"   8.6","*","  -2.0"," "," 28.9",," 0.00","I","9999.9"," 0","  2.0",,"799.4"," 8","   6.8","15"," 64.0","15"," 14.2","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-08"," -13.0","15","000000",," 43.9",,"  12.2","*","   3.9"," "," 26.8",," 0.00","I","9999.9"," 0","  2.0",,"798.7"," 8","   8.8","15"," 66.8","15"," 17.8","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-09","  -5.5","16","000000",," 41.0",,"  12.0"," ","   1.0"," "," 28.0",," 0.00","I","9999.9"," 0","  2.0",,"797.0"," 8","   5.9","16"," 63.5","16"," 10.8","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-10"," -13.8","15","000000",," 32.8",,"  10.9"," ","  -2.2","*"," 22.9",," 0.00","I","9999.9"," 0","  2.0",,"789.6"," 7","   2.3","15"," 63.5","15"," 11.2","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-11","  -8.3","16","101000",," 44.9",,"   5.0"," ","  -4.0"," "," 36.9",,"99.99"," ","9999.9"," 0","  2.0",,"788.2"," 8","  -1.0","16"," 61.8","16"," 22.7","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-12","   0.2","16","101000",," 52.8",,"   6.1"," ","  -4.0"," "," 42.9",," 0.01","G","9999.9"," 0","999.9",,"787.3"," 8","   0.4","16","  1.9","16"," 17.6","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-13","  -2.0","14","101000",," 63.9",,"   3.0"," ","  -4.0"," "," 49.9",," 0.08","G","9999.9"," 0","999.9",,"793.6"," 7","  -1.7","14","  2.1","14"," 39.4","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-14","   1.1","16","101000",," 61.0",,"   4.1","*","  -4.0"," "," 46.8",," 0.04","G","9999.9"," 0","  2.0",,"795.5"," 8","   1.1","16","  0.0","16"," 40.3","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-15","  -3.3","15","101000",," 69.9",,"   3.9"," ","  -5.8","*"," 55.0",," 0.04","G","9999.9"," 0","999.9",,"792.2"," 7","  -0.5","15"," 16.2","15"," 44.8","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-16","   1.8","14","101000",,"999.9",,"  11.1","*","  -5.1"," "," 22.9",," 0.08","G","9999.9"," 0","999.9",,"785.6"," 7","   4.7","14"," 16.6","14"," 15.8","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-17"," -11.8","16","101000",," 82.0",,"  10.9"," "," -18.9"," "," 62.9",," 0.24","G","9999.9"," 0","  3.1",,"775.6"," 8"," -11.8","16","  0.0","16"," 47.8","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-18","  -7.6","13","100000",,"999.9",,"   4.1","*"," -18.9"," "," 59.1",," 0.04","G","9999.9"," 0","  3.1",,"787.4"," 7","  -5.3","13"," 15.9","13"," 45.0","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-19","  -7.4","16","000000",," 77.9",,"  14.2","*","   3.2","*"," 62.9",," 0.00","G","9999.9"," 0","  3.1",,"797.0"," 8","   9.8","16"," 63.7","16"," 50.1","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-20","   7.9","13","100000",,"999.9",,"  26.6","*","   5.0"," "," 49.9",," 0.00","I","9999.9"," 0","  2.0",,"799.4"," 6","  20.8","13"," 35.9","13"," 21.5","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-21","   7.7","12","101000",," 57.9",,"  28.0"," ","   1.2","*"," 46.0",," 0.04","G","9999.9"," 0","  2.0",,"792.8"," 7","  15.6","12"," 22.0","12"," 36.0","12"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-22","  -9.1","14","111000",," 50.9",,"  19.9"," ","  -0.9"," "," 41.0",," 0.04","G","9999.9"," 0","  2.0",,"796.9"," 7","  10.9","15"," 46.4","15"," 19.1","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-23","  14.6","15","101000",," 63.9",,"  19.9"," ","   9.0"," "," 42.9",," 0.20","G","9999.9"," 0","999.9",,"790.2"," 7","  15.2","15","  6.0","15"," 35.0","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-24","  11.8","14","101000",," 43.9",,"  19.9"," ","  10.9"," "," 35.9",," 0.01","G","9999.9"," 0","999.9",,"793.4"," 7","  14.1","14"," 24.2","14"," 18.0","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-25","   6.5","16","101000",," 62.0",,"  15.1"," ","   3.0"," "," 49.0",," 0.12","G","9999.9"," 0","999.9",,"791.5"," 8","   6.7","16","  1.6","16"," 37.1","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-26"," -10.7","14","101000",," 51.9",,"   8.1"," "," -18.4","*"," 38.1",," 0.01","G","9999.9"," 0","999.9",,"786.6"," 7","  -5.9","14"," 39.6","13"," 23.9","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-27"," -19.4","13","101000",," 58.9",,"   1.0"," "," -24.0"," "," 47.0",," 0.00","G","9999.9"," 0","  3.1",,"784.0"," 6"," -15.0","13"," 20.6","13"," 32.8","13"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-28","  -4.4","15","101000",,"999.9",,"   0.1","*"," -22.0"," "," 27.0",," 0.04","G","9999.9"," 0","999.9",,"780.9"," 7","  -4.4","15","  0.0","15"," 15.7","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-02-29"," -19.5","16","101000",," 77.9",,"   0.0"," "," -24.0"," "," 62.0",," 0.01","G","9999.9"," 0","999.9",,"780.5"," 8"," -18.8","16","  7.9","16"," 28.9","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-01"," -23.4","15","100000",," 88.0",,"  -9.0"," "," -29.9"," "," 69.0",," 0.00","G","9999.9"," 0","  3.1",,"787.6"," 8"," -17.1","15"," 37.6","15"," 53.2","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-02"," -33.4","15","000000",,"999.9",,"   1.2","*"," -11.7","*"," 22.9",," 0.00","I","9999.9"," 0","  3.1",,"793.4"," 7","  -5.9","15"," 62.6","15"," 12.3","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-03"," -34.3","16","000000",,"999.9",,"  10.4","*","  -9.0"," "," 22.9",," 0.00","I","9999.9"," 0","  3.1",,"793.1"," 8","   5.3","16"," 66.2","16"," 16.1","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-04"," -13.4","15","000000",," 32.8",,"  13.1","*","   1.9"," "," 31.1",," 0.00","I","9999.9"," 0","  3.1",,"792.4"," 8","   8.5","15"," 54.7","15"," 24.5","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-05","  10.5","16","101000",," 56.9",,"  24.8","*","   3.0"," "," 42.9",," 0.35","G","9999.9"," 0","  2.0",,"793.7"," 8","  15.8","16"," 20.9","16"," 30.3","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-06","   8.3","15","101000",," 77.9",,"  27.0"," ","  -0.9"," "," 62.9",," 0.31","G","9999.9"," 0","999.9",,"791.2"," 8","  10.2","16"," 14.1","16"," 49.5","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-07","   4.4","16","101000",," 55.9",,"  21.9"," ","  -0.9"," "," 42.9",," 0.12","G","9999.9"," 0","999.9",,"799.4"," 8","   9.3","16"," 19.9","16"," 35.6","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-08","  20.1","15","101000",," 55.9",,"  29.1","*","   3.0"," "," 45.1",," 0.51","G","9999.9"," 0","999.9",,"797.8"," 8","  20.1","15","  0.0","15"," 23.6","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-09","  15.9","14","101000",," 55.9",,"  30.2","*","   7.2","*"," 47.0",," 0.35","G","9999.9"," 0","999.9",,"786.9"," 7","  15.9","14","  0.0","14"," 36.1","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-10","   8.6","14","101000",," 55.9",,"  26.1"," ","   3.0"," "," 45.1",," 0.02","G","9999.9"," 0","  5.1",,"791.6"," 7","   9.4","14","  8.3","14"," 34.2","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-11","  11.4","14","101000",," 89.9",,"  19.9"," ","  -0.8","*"," 72.8",," 0.94","G","9999.9"," 0","999.9",,"784.3"," 7","  11.4","14","  0.0","14"," 44.9","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-12"," -12.2","16","101000",," 99.8",,"  -0.4","*"," -18.9"," "," 83.9",," 0.28","G","9999.9"," 0","999.9",,"777.5"," 8"," -12.2","16","  0.0","16"," 72.9","16"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-13"," -18.5","15","100000",," 77.9",,"  17.1"," "," -18.9"," "," 66.0",," 0.01","G","9999.9"," 0","  3.9",,"798.7"," 8","   2.6","15"," 52.4","15"," 30.6","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-14","   3.2","14","101000",,"102.0",,"  27.0"," ","   8.6","*"," 79.1",," 2.60","G","9999.9"," 0","999.9",,"790.3"," 7","  15.4","14"," 11.5","14"," 47.0","14"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-15","  -1.7","15","101000",,"116.9",,"  10.4","*","  -8.9","*"," 93.0",," 0.43","G","9999.9"," 0","999.9",,"780.5"," 8","  -1.7","15","  0.0","15"," 80.2","15"
"72613099999","MOUNT WASHINGTON, NH US","44.267","-71.3","1910.0","1980-03-16"," -20.8","15","100000",,"103.9",,"  16.2","*"," -18.0"," "," 90.9",," 0.39","G","9999.9"," 0","  3.1",,"794.2"," 8","  -3.7","15"," 48.6","14"," 59.3","15"
